"Time","Salon","2ème étage","Chambre 3","Chambre 2"
2020-12-28 00:00:00,826,906,1142,1606
2020-12-28 00:15:00,800,907,1149,1604
2020-12-28 00:30:00,821,890,1163,1665
2020-12-28 00:45:00,797,868,1194,1701
2020-12-28 01:00:00,797,852,1213,1702
2020-12-28 01:15:00,789,839,1224,1715
2020-12-28 01:30:00,769,835,1234,1734
2020-12-28 01:45:00,762,835,1248,1749
2020-12-28 02:00:00,755,836,1250,1745
2020-12-28 02:15:00,737,824,1236,1735
2020-12-28 02:30:00,722,808,1217,1724
2020-12-28 02:45:00,704,793,1209,1720
2020-12-28 03:00:00,685,780,1212,1720
2020-12-28 03:15:00,685,780,1219,1714
2020-12-28 03:30:00,682,779,1220,1704
2020-12-28 03:45:00,674,772,1212,1695
2020-12-28 04:00:00,647,772,1206,1684
2020-12-28 04:15:00,644,751,1202,1647
2020-12-28 04:30:00,640,731,1204,1615
2020-12-28 04:45:00,634,726,1214,1616
2020-12-28 05:00:00,627,723,1225,1608
2020-12-28 05:15:00,618,722,1230,1619
2020-12-28 05:30:00,616,726,1232,1634
2020-12-28 05:45:00,611,728,1243,1651
2020-12-28 06:00:00,608,731,1256,1682
2020-12-28 06:15:00,612,727,1266,1702
2020-12-28 06:30:00,599,724,1282,1709
2020-12-28 06:45:00,612,723,1289,1708
2020-12-28 07:00:00,625,727,1316,1707
2020-12-28 07:15:00,642,734,1323,1743
2020-12-28 07:30:00,640,728,1319,1821
2020-12-28 07:45:00,647,748,1335,1765
2020-12-28 08:00:00,653,799,1362,1254
2020-12-28 08:15:00,673,827,1380,906
2020-12-28 08:30:00,723,821,1308,1036
2020-12-28 08:45:00,783,838,1100,1124
2020-12-28 09:00:00,884,849,948,1065
2020-12-28 09:15:00,957,833,922,991
2020-12-28 09:30:00,989,842,908,970
2020-12-28 09:45:00,1031,823,909,943
2020-12-28 10:00:00,1053,808,935,913
2020-12-28 10:15:00,1073,811,952,888
2020-12-28 10:30:00,1082,829,930,861
2020-12-28 10:45:00,1093,820,908,830
2020-12-28 11:00:00,1091,816,950,829
2020-12-28 11:15:00,1095,,973,862
2020-12-28 11:30:00,1112,912,988,939
2020-12-28 11:45:00,1030,912,966,1011
2020-12-28 12:00:00,1095,,979,1007
2020-12-28 12:15:00,1105,912,1015,980
2020-12-28 12:30:00,1057,828,1004,968
2020-12-28 12:45:00,1050,833,972,1002
2020-12-28 13:00:00,1060,838,958,1048
2020-12-28 13:15:00,1024,,961,1135
2020-12-28 13:30:00,966,838,987,1273
2020-12-28 13:45:00,943,838,1016,1299
2020-12-28 14:00:00,920,838,1051,1153
2020-12-28 14:15:00,903,838,1075,1016
2020-12-28 14:30:00,909,967,1092,973
2020-12-28 14:45:00,906,967,1115,968
2020-12-28 15:00:00,899,869,1077,963
2020-12-28 15:15:00,923,880,1009,975
2020-12-28 15:30:00,947,883,946,987
2020-12-28 15:45:00,939,872,901,960
2020-12-28 16:00:00,915,868,880,939
2020-12-28 16:15:00,881,868,850,900
2020-12-28 16:30:00,834,,825,858
2020-12-28 16:45:00,826,,792,829
2020-12-28 17:00:00,837,,756,791
2020-12-28 17:15:00,829,,741,767
2020-12-28 17:30:00,822,,731,758
2020-12-28 17:45:00,860,,713,726
2020-12-28 18:00:00,889,,690,695
2020-12-28 18:15:00,867,868,721,822
2020-12-28 18:30:00,857,868,773,961
2020-12-28 18:45:00,868,676,798,957
2020-12-28 19:00:00,881,673,805,937
2020-12-28 19:15:00,934,677,796,920
2020-12-28 19:30:00,982,685,795,894
2020-12-28 19:45:00,934,690,798,909
2020-12-28 20:00:00,857,702,805,934
2020-12-28 20:15:00,837,704,806,928
2020-12-28 20:30:00,825,722,849,1001
2020-12-28 20:45:00,802,723,867,1063
2020-12-28 21:00:00,812,692,896,1083
2020-12-28 21:15:00,834,682,920,1162
2020-12-28 21:30:00,813,723,927,1197
2020-12-28 21:45:00,781,765,935,1190
2020-12-28 22:00:00,752,,931,1216
2020-12-28 22:15:00,718,844,946,1246
2020-12-28 22:30:00,702,844,986,1242
2020-12-28 22:45:00,685,,1012,1238
2020-12-28 23:00:00,677,844,1012,1262
2020-12-28 23:15:00,668,855,1017,1268
2020-12-28 23:30:00,671,855,1035,1287
2020-12-28 23:45:00,675,767,1040,1327
2020-12-29 00:00:00,680,764,1044,1343
2020-12-29 00:15:00,685,755,1052,1337
2020-12-29 00:30:00,659,744,1054,1363
2020-12-29 00:45:00,665,728,1072,1387
2020-12-29 01:00:00,666,708,1087,1434
2020-12-29 01:15:00,658,700,1088,1448
2020-12-29 01:30:00,664,692,1078,1445
2020-12-29 01:45:00,663,680,1085,1470
2020-12-29 02:00:00,644,680,1096,1485
2020-12-29 02:15:00,639,685,1115,1506
2020-12-29 02:30:00,639,677,1135,1506
2020-12-29 02:45:00,654,693,1150,1531
2020-12-29 03:00:00,667,706,1167,1572
2020-12-29 03:15:00,656,697,1169,1582
2020-12-29 03:30:00,654,703,1176,1586
2020-12-29 03:45:00,660,696,1188,1610
2020-12-29 04:00:00,657,683,1197,1630
2020-12-29 04:15:00,640,677,1209,1643
2020-12-29 04:30:00,626,703,1221,1672
2020-12-29 04:45:00,611,701,1224,1716
2020-12-29 05:00:00,620,707,1229,1755
2020-12-29 05:15:00,641,717,1247,1774
2020-12-29 05:30:00,635,717,1258,1805
2020-12-29 05:45:00,616,725,1271,1826
2020-12-29 06:00:00,608,734,1291,1836
2020-12-29 06:15:00,601,733,1317,1835
2020-12-29 06:30:00,601,738,1342,1848
2020-12-29 06:45:00,606,729,1346,1877
2020-12-29 07:00:00,603,704,1350,1884
2020-12-29 07:15:00,598,726,1366,1827
2020-12-29 07:30:00,606,759,1389,1773
2020-12-29 07:45:00,608,,1417,1761
2020-12-29 08:00:00,603,759,1264,1639
2020-12-29 08:15:00,641,904,738,1014
2020-12-29 08:30:00,685,904,367,440
2020-12-29 08:45:00,669,512,352,366
2020-12-29 09:00:00,652,512,347,311
2020-12-29 09:15:00,688,512,386,271
2020-12-29 09:30:00,738,563,465,376
2020-12-29 09:45:00,765,564,546,444
2020-12-29 10:00:00,817,564,611,599
2020-12-29 10:15:00,850,564,635,734
2020-12-29 10:30:00,864,654,675,797
2020-12-29 10:45:00,889,668,770,810
2020-12-29 11:00:00,854,693,844,797
2020-12-29 11:15:00,850,703,859,781
2020-12-29 11:30:00,923,,856,773
2020-12-29 11:45:00,805,,817,768
2020-12-29 12:00:00,612,703,776,802
2020-12-29 12:15:00,656,703,755,732
2020-12-29 12:30:00,747,,731,692
2020-12-29 12:45:00,648,703,767,793
2020-12-29 13:00:00,519,600,808,892
2020-12-29 13:15:00,457,600,812,971
2020-12-29 13:30:00,411,600,836,1011
2020-12-29 13:45:00,426,510,857,916
2020-12-29 14:00:00,483,537,893,725
2020-12-29 14:15:00,552,564,937,616
2020-12-29 14:30:00,656,566,963,680
2020-12-29 14:45:00,763,574,996,734
2020-12-29 15:00:00,796,589,1024,718
2020-12-29 15:15:00,806,594,1017,732
2020-12-29 15:30:00,838,592,955,785
2020-12-29 15:45:00,822,710,860,812
2020-12-29 16:00:00,764,710,798,798
2020-12-29 16:15:00,735,710,746,757
2020-12-29 16:30:00,741,631,698,724
2020-12-29 16:45:00,766,631,683,695
2020-12-29 17:00:00,778,653,678,666
2020-12-29 17:15:00,780,648,667,643
2020-12-29 17:30:00,770,645,676,680
2020-12-29 17:45:00,790,647,698,727
2020-12-29 18:00:00,800,,715,767
2020-12-29 18:15:00,787,647,735,810
2020-12-29 18:30:00,785,768,755,845
2020-12-29 18:45:00,792,800,801,919
2020-12-29 19:00:00,820,823,830,981
2020-12-29 19:15:00,860,780,795,937
2020-12-29 19:30:00,899,738,766,894
2020-12-29 19:45:00,910,729,767,878
2020-12-29 20:00:00,899,730,796,857
2020-12-29 20:15:00,901,738,844,834
2020-12-29 20:30:00,915,751,885,811
2020-12-29 20:45:00,899,793,925,791
2020-12-29 21:00:00,862,867,963,781
2020-12-29 21:15:00,834,957,997,758
2020-12-29 21:30:00,817,1005,1028,729
2020-12-29 21:45:00,802,987,1044,718
2020-12-29 22:00:00,783,964,1060,705
2020-12-29 22:15:00,755,958,1078,697
2020-12-29 22:30:00,737,957,1082,691
2020-12-29 22:45:00,733,954,1091,671
2020-12-29 23:00:00,722,940,1112,654
2020-12-29 23:15:00,707,914,1110,646
2020-12-29 23:30:00,690,894,1107,609
2020-12-29 23:45:00,676,881,1116,589
2020-12-30 00:00:00,666,875,1122,600
2020-12-30 00:15:00,663,818,1134,598
2020-12-30 00:30:00,653,818,1154,588
2020-12-30 00:45:00,645,812,1175,570
2020-12-30 01:00:00,639,802,1178,555
2020-12-30 01:15:00,622,781,1186,547
2020-12-30 01:30:00,622,761,1196,541
2020-12-30 01:45:00,611,766,1209,537
2020-12-30 02:00:00,602,770,1217,529
2020-12-30 02:15:00,603,750,1216,511
2020-12-30 02:30:00,587,740,1219,499
2020-12-30 02:45:00,582,737,1225,495
2020-12-30 03:00:00,583,726,1225,491
2020-12-30 03:15:00,570,739,1221,486
2020-12-30 03:30:00,555,751,1222,480
2020-12-30 03:45:00,552,724,1230,470
2020-12-30 04:00:00,541,705,1237,468
2020-12-30 04:15:00,541,710,1256,469
2020-12-30 04:30:00,542,707,1265,458
2020-12-30 04:45:00,525,695,1262,447
2020-12-30 05:00:00,533,680,1271,448
2020-12-30 05:15:00,537,680,1272,457
2020-12-30 05:30:00,524,687,1267,448
2020-12-30 05:45:00,512,686,1274,436
2020-12-30 06:00:00,518,674,1281,436
2020-12-30 06:15:00,516,660,1283,432
2020-12-30 06:30:00,507,659,1281,422
2020-12-30 06:45:00,510,660,1294,412
2020-12-30 07:00:00,500,659,1296,412
2020-12-30 07:15:00,489,657,1279,415
2020-12-30 07:30:00,489,652,1291,410
2020-12-30 07:45:00,489,645,1306,412
2020-12-30 08:00:00,493,645,1167,406
2020-12-30 08:15:00,504,646,801,400
2020-12-30 08:30:00,555,592,523,397
2020-12-30 08:45:00,614,506,477,394
2020-12-30 09:00:00,628,437,464,393
2020-12-30 09:15:00,633,409,448,392
2020-12-30 09:30:00,638,447,466,386
2020-12-30 09:45:00,652,486,500,393
2020-12-30 10:00:00,676,496,522,419
2020-12-30 10:15:00,737,502,536,479
2020-12-30 10:30:00,787,514,550,529
2020-12-30 10:45:00,796,534,575,549
2020-12-30 11:00:00,797,563,599,569
2020-12-30 11:15:00,791,633,610,624
2020-12-30 11:30:00,800,693,621,673
2020-12-30 11:45:00,819,685,642,668
2020-12-30 12:00:00,816,658,650,653
2020-12-30 12:15:00,839,622,639,623
2020-12-30 12:30:00,889,597,642,618
2020-12-30 12:45:00,900,627,684,674
2020-12-30 13:00:00,878,637,728,714
2020-12-30 13:15:00,866,661,764,718
2020-12-30 13:30:00,857,678,797,727
2020-12-30 13:45:00,861,683,831,733
2020-12-30 14:00:00,862,697,868,726
2020-12-30 14:15:00,822,703,877,715
2020-12-30 14:30:00,735,680,894,693
2020-12-30 14:45:00,679,653,933,660
2020-12-30 15:00:00,683,624,961,644
2020-12-30 15:15:00,686,604,981,623
2020-12-30 15:30:00,684,588,999,612
2020-12-30 15:45:00,702,598,912,644
2020-12-30 16:00:00,744,650,791,692
2020-12-30 16:15:00,773,630,742,719
2020-12-30 16:30:00,790,698,720,720
2020-12-30 16:45:00,796,682,698,708
2020-12-30 17:00:00,821,681,684,696
2020-12-30 17:15:00,861,690,739,742
2020-12-30 17:30:00,890,728,808,810
2020-12-30 17:45:00,932,769,860,881
2020-12-30 18:00:00,962,790,909,953
2020-12-30 18:15:00,987,820,918,949
2020-12-30 18:30:00,1026,861,899,908
2020-12-30 18:45:00,1034,875,879,883
2020-12-30 19:00:00,1048,867,908,865
2020-12-30 19:15:00,1076,866,944,846
2020-12-30 19:30:00,1105,882,941,827
2020-12-30 19:45:00,1103,918,954,937
2020-12-30 20:00:00,1067,951,983,1083
2020-12-30 20:15:00,1057,958,1024,1154
2020-12-30 20:30:00,1030,955,1052,1198
2020-12-30 20:45:00,1002,1037,1071,1267
2020-12-30 21:00:00,956,1059,1096,1311
2020-12-30 21:15:00,910,,1116,1340
2020-12-30 21:30:00,886,1059,1127,1381
2020-12-30 21:45:00,855,1059,1145,1402
2020-12-30 22:00:00,805,1096,1174,1419
2020-12-30 22:15:00,787,1096,1195,1436
2020-12-30 22:30:00,779,,1204,1449
2020-12-30 22:45:00,755,,1209,1474
2020-12-30 23:00:00,734,1096,1220,1513
2020-12-30 23:15:00,720,897,1231,1537
2020-12-30 23:30:00,698,889,1235,1564
2020-12-30 23:45:00,688,881,1230,1599
2020-12-31 00:00:00,679,,1240,1630
2020-12-31 00:15:00,677,,1252,1623
2020-12-31 00:30:00,665,,1240,1664
2020-12-31 00:45:00,654,,1243,1684
2020-12-31 01:00:00,635,881,1246,1697
2020-12-31 01:15:00,629,,1243,1702
2020-12-31 01:30:00,620,,1241,1718
2020-12-31 01:45:00,612,881,1252,1709
2020-12-31 02:00:00,602,,1258,1724
2020-12-31 02:15:00,585,,1257,1759
2020-12-31 02:30:00,584,881,1248,1761
2020-12-31 02:45:00,579,,1242,1757
2020-12-31 03:00:00,579,,1244,1759
2020-12-31 03:15:00,571,881,1235,1756
2020-12-31 03:30:00,571,716,1232,1741
2020-12-31 03:45:00,559,723,1228,1716
2020-12-31 04:00:00,554,708,1220,1702
2020-12-31 04:15:00,545,708,1208,1683
2020-12-31 04:30:00,538,,1195,1663
2020-12-31 04:45:00,541,,1191,1662
2020-12-31 05:00:00,526,,1179,1647
2020-12-31 05:15:00,526,,1158,1624
2020-12-31 05:30:00,519,,1148,1617
2020-12-31 05:45:00,508,,1140,1597
2020-12-31 06:00:00,517,,1130,1580
2020-12-31 06:15:00,544,,1121,1548
2020-12-31 06:30:00,554,708,1120,1563
2020-12-31 06:45:00,549,,1123,1577
2020-12-31 07:00:00,538,,1122,1571
2020-12-31 07:15:00,535,708,1128,1558
2020-12-31 07:30:00,533,,1126,1407
2020-12-31 07:45:00,530,708,1119,1251
2020-12-31 08:00:00,528,,1112,1246
2020-12-31 08:15:00,519,,1103,1270
2020-12-31 08:30:00,525,,1097,1283
2020-12-31 08:45:00,538,708,1104,1294
2020-12-31 09:00:00,561,465,1021,1228
2020-12-31 09:15:00,599,457,790,943
2020-12-31 09:30:00,634,433,611,635
2020-12-31 09:45:00,637,417,542,519
2020-12-31 10:00:00,624,,517,503
2020-12-31 10:15:00,646,,527,492
2020-12-31 10:30:00,653,,530,501
2020-12-31 10:45:00,656,417,543,542
2020-12-31 11:00:00,684,,553,568
2020-12-31 11:15:00,715,,553,568
2020-12-31 11:30:00,747,,567,570
2020-12-31 11:45:00,776,,588,574
2020-12-31 12:00:00,794,,598,580
2020-12-31 12:15:00,777,,609,596
2020-12-31 12:30:00,760,417,633,621
2020-12-31 12:45:00,749,417,643,679
2020-12-31 13:00:00,726,,633,710
2020-12-31 13:15:00,712,,625,689
2020-12-31 13:30:00,630,508,606,676
2020-12-31 13:45:00,635,604,603,684
2020-12-31 14:00:00,720,610,632,666
2020-12-31 14:15:00,720,610,632,636
2020-12-31 14:30:00,731,610,630,627
2020-12-31 14:45:00,741,610,634,644
2020-12-31 15:00:00,756,620,640,658
2020-12-31 15:15:00,782,620,648,670
2020-12-31 15:30:00,793,,670,693
2020-12-31 15:45:00,798,620,687,692
2020-12-31 16:00:00,776,693,689,678
2020-12-31 16:15:00,732,693,671,658
2020-12-31 16:30:00,687,693,631,626
2020-12-31 16:45:00,673,693,595,607
2020-12-31 17:00:00,703,574,582,594
2020-12-31 17:15:00,758,570,578,578
