"Time","Cuisine","Extérieur","2ème étage","Chambre 3","Extérieur Cuisine","Extérieur Station météo","Salon","Extérieur Buanderie","2ème étage 2","Chambre3 2","Chambre 2","Chambre 1","Chambre 2 2"
2021-01-04 00:30:00,42,75,59,,,,44,85,56,48,55,,
2021-01-04 01:00:00,42,75,59,52,,,44,85,56,48,55,,
2021-01-04 01:30:00,41,,,52,,,43,85,56,48,55,57,52
2021-01-04 01:45:00,41,76,,,,,43,85,56,48,55,57,52
2021-01-04 02:15:00,41,,,52,91,90,43,85,56,48,55,,52
2021-01-04 03:15:00,41,,,,,91,43,86,56,48,55,,
2021-01-04 04:15:00,41,,,,,90,43,86,55,48,55,57,
2021-01-04 04:30:00,41,78,,,,,43,86,55,48,55,,51
2021-01-04 05:00:00,41,,,,,,43,85,55,48,55,57,
2021-01-04 05:15:00,41,,,,,,43,85,55,48,55,,
2021-01-04 06:00:00,41,,,,,,43,86,55,48,55,,
2021-01-04 06:15:00,41,,,,,91,43,85,55,48,55,,
2021-01-04 07:00:00,41,,58,,,91,43,85,55,48,55,,52
2021-01-04 07:45:00,40,,47,40,,,43,85,52,46,51,41,39
2021-01-04 08:45:00,41,,,,,86,42,82,53,45,50,,
2021-01-04 09:45:00,42,,,,,82,43,82,53,45,50,,
2021-01-04 10:45:00,41,70,,,,77,43,80,53,45,50,,
2021-01-04 11:00:00,41,,56,46,,,43,80,53,45,50,49,44
2021-01-04 11:15:00,41,70,56,46,,78,43,79,53,45,50,49,44
2021-01-04 11:45:00,42,69,56,47,,75,43,79,53,45,50,51,45
2021-01-04 12:00:00,45,69,56,47,,74,43,77,53,45,50,50,45
2021-01-04 12:15:00,46,69,56,48,,,44,76,54,46,50,50,45
2021-01-04 12:30:00,45,69,57,48,,74,44,76,54,46,50,50,45
2021-01-04 13:00:00,45,67,58,48,,71,45,74,54,46,51,50,47
2021-01-04 13:15:00,45,,58,49,89,72,45,75,54,46,51,50,48
2021-01-04 13:30:00,45,68,58,,,72,44,74,54,46,51,,48
2021-01-04 13:45:00,45,,58,50,,70,44,75,54,46,51,50,48
2021-01-04 14:30:00,45,,,51,,67,44,73,54,47,52,,48
2021-01-04 15:30:00,44,,,,,67,44,72,54,47,52,,
2021-01-04 16:00:00,43,67,,,,64,44,71,54,46,52,,47
2021-01-04 16:30:00,42,67,57,,,67,44,72,54,46,52,51,47
2021-01-04 17:15:00,43,,,,,,43,73,54,46,51,,47
2021-01-04 17:45:00,43,68,,,,,44,72,54,46,51,50,47
2021-01-04 18:15:00,43,,58,47,,69,44,73,54,46,51,52,47
2021-01-04 18:45:00,49,68,58,49,83,70,44,74,55,46,51,51,
2021-01-04 19:15:00,46,,58,50,,70,45,74,55,47,51,,
2021-01-04 20:15:00,44,68,59,,,,44,75,55,47,52,,
2021-01-04 20:45:00,45,,58,51,,75,45,76,55,47,52,,50
2021-01-04 21:15:00,44,72,,,,78,44,76,55,48,53,,
2021-01-04 21:45:00,44,74,58,52,,80,44,78,55,48,53,,51
2021-01-04 22:00:00,44,75,61,,,80,44,79,56,48,53,,
2021-01-04 23:00:00,43,75,60,,,81,44,78,57,48,54,,
2021-01-05 00:00:00,43,73,60,,,,,,,,,,
2021-01-05 01:00:00,42,73,,,,,44,78,56,48,55,,
2021-01-05 01:45:00,42,,59,,,,43,78,56,48,55,,52
2021-01-05 02:45:00,41,72,59,,,82,43,78,55,48,55,,
2021-01-05 03:45:00,41,74,58,,,,43,79,55,48,55,,
2021-01-05 04:30:00,41,74,,,,,43,79,55,48,55,,
2021-01-05 04:45:00,41,74,58,52,,,43,79,55,48,55,59,52
2021-01-05 05:45:00,41,75,,,87,86,42,79,55,48,55,,
2021-01-05 06:45:00,41,74,,51,,,42,80,55,48,55,58,
2021-01-05 07:15:00,40,,53,44,,,42,79,52,48,55,45,35
2021-01-05 07:30:00,40,75,,44,,88,42,80,53,45,52,43,41
2021-01-05 08:00:00,41,76,,,,,42,79,53,45,51,46,43
2021-01-05 08:30:00,41,76,,,,,42,80,53,45,51,,45
2021-01-05 08:45:00,41,,55,46,,,42,80,53,45,52,47,
2021-01-05 09:30:00,41,,,,,,43,80,53,45,52,,
2021-01-05 11:15:00,42,74,,,,82,42,79,53,45,52,,
2021-01-05 11:30:00,44,,,47,,81,43,78,53,45,52,48,
2021-01-05 12:00:00,43,72,56,,,79,43,77,53,45,52,49,47
