"Time","Cuisine","Extérieur Cuisine","2ème étage","Chambre 3","Extérieur Cuisine2","Extérieur Station météo","Salon","Extérieur Buanderie","2ème étage 2","Chambre 3 2","Chambre 2","Chambre 1","Chambre 2"
2020-12-28 00:00:00,23,,,,5,6.4,22,7.8,19,23,21,20,21
2020-12-28 00:15:00,23,7.7,18,,,6.3,,,19,,21,,21
2020-12-28 00:30:00,,,19,21,,6.4,22,7.8,19,23,21,20,21
2020-12-28 00:45:00,23,7.8,18,21,,6.7,22,7.7,19,23,21,20,21
2020-12-28 01:00:00,,,,,,6.8,22,7.8,19,23,,20,
2020-12-28 01:15:00,23,8.0,19,21,,6.7,22,7.8,19,23,21,20,21
2020-12-28 01:30:00,23,8.2,19,21,,7.5,22,8,19,23,21,20,21
2020-12-28 01:45:00,,8.3,,,,8.2,22,8.2,19,23,,,
2020-12-28 02:00:00,23,8.3,19,22,,8.4,22,8.4,19,23,21,20,21
2020-12-28 02:15:00,23,,,,,8.6,22,8.5,19,23,21,20,21
2020-12-28 02:30:00,23,8.5,19,22,,8.3,22,8.6,19,23,21,20,21
2020-12-28 02:45:00,23,8.4,19,22,,8.3,22,8.6,19,23,21,20,21
2020-12-28 03:00:00,23,8.3,19,22,,8,22,8.6,19,23,21,20,21
2020-12-28 03:15:00,23,8.2,19,22,,7.8,22,8.5,19,23,21,20,21
2020-12-28 03:30:00,23,8.1,19,22,,7.9,22,8.5,19,23,21,20,21
2020-12-28 03:45:00,23,,19,22,,7.7,22,8.5,19,23,21,20,21
2020-12-28 04:00:00,23,8.1,19,22,,7.8,22,8.4,19,23,21,20,21
2020-12-28 04:15:00,23,7.9,18,22,,7.5,22,8.4,19,23,21,,21
2020-12-28 04:30:00,23,,19,,,7.3,22,8.3,19,23,21,20,21
2020-12-28 04:45:00,23,7.8,19,22,,7.2,22,8.3,19,23,21,,21
2020-12-28 05:00:00,23,,,,,7.3,22,8.2,19,23,,20,
2020-12-28 05:15:00,22,8.0,19,21,,7.5,22,8.2,19,22,,,
2020-12-28 05:30:00,,,19,,,7.4,22,8.3,19,22,,,
2020-12-28 05:45:00,,,19,,6.6,7.1,22,8.3,19,23,21,20,21
2020-12-28 06:00:00,22,,19,22,,6.7,22,8.3,19,23,,,
2020-12-28 06:15:00,,7.7,19,,,,,8.2,19,23,,,
2020-12-28 06:30:00,,7.7,,,,5.8,22,8.1,19,23,21,,21
2020-12-28 06:45:00,23,7.5,,22,,5.4,,8.1,19,,21,20,21
2020-12-28 07:00:00,23,,,22,,5,22,7.8,19,23,21,,21
2020-12-28 07:15:00,,7.4,19,,,5.1,22,7.6,20,23,,,
2020-12-28 07:30:00,23,,,22,,5.3,22,7.6,20,23,22,20,22
2020-12-28 07:45:00,23,7.5,19,22,,5.6,22,7.5,20,23,21,,21
2020-12-28 08:00:00,,7.4,19,22,,5.6,22,7.5,20,23,,,
2020-12-28 08:15:00,,7.3,19,,,5.4,22,7.4,20,23,21,20,21
2020-12-28 08:30:00,23,7.5,19,22,,5.9,22,7.4,20,23,21,20,21
2020-12-28 08:45:00,23,7.5,19,22,,6.0,22,7.4,20,23,21,20,21
2020-12-28 09:00:00,,,19,,,6.1,22,6.9,20,23,21,,21
2020-12-28 09:15:00,23,7.7,19,,,,23,6.9,20,23,21,20,21
2020-12-28 09:30:00,23,8.0,19,22,,,23,6.8,20,23,21,21,21
2020-12-28 09:45:00,23,,,22,,,23,6.9,20,22,21,20,21
2020-12-28 10:00:00,23,8.2,19,22,,7.7,23,6.9,20,22,21,20,21
2020-12-28 10:15:00,,,,,,,23,7,20,22,21,,21
2020-12-28 10:30:00,,8.2,,22,,,23,7.1,19,22,21,20,21
2020-12-28 10:45:00,23,,19,,,7.9,23,7.2,19,22,21,,21
2020-12-28 11:00:00,,8.3,19,,,7.9,23,7.3,,22,21,,21
2020-12-28 11:15:00,,8.6,,,6.3,8.2,23,7.4,,22,21,,21
2020-12-28 11:30:00,23,8.5,19,22,,7.8,,7.4,19,22,21,21,21
2020-12-28 11:45:00,23,8.4,19,22,,7.6,23,7.3,19,22,21,21,21
2020-12-28 12:00:00,23,8.6,19,,,,23,7.3,,22,21,21,21
2020-12-28 12:15:00,23,8.5,19,22,,7.9,23,7.4,19,22,21,21,21
2020-12-28 12:30:00,23,8.5,19,22,,8.2,23,7.4,19,22,21,21,21
2020-12-28 12:45:00,23,8.8,19,22,,8.1,23,7.5,19,22,21,20,21
2020-12-28 13:00:00,23,8.7,19,,,7.9,23,7.6,19,22,21,21,21
2020-12-28 13:15:00,23,8.6,19,22,,,23,7.7,,22,21,20,21
2020-12-28 13:30:00,23,8.8,,22,,,23,7.8,19,22,21,,21
2020-12-28 13:45:00,,8.9,19,,,,23,7.8,19,22,,,
2020-12-28 14:00:00,,,,,,,23,7.9,19,22,21,,21
2020-12-28 14:15:00,23,,19,22,,8.2,23,8.0,19,22,,21,
2020-12-28 14:30:00,,9.0,19,,,8.4,23,8.1,19,22,,,
2020-12-28 14:45:00,23,,,22,,8.6,23,8.3,19,23,21,21,21
